industrialsectorname,industrialsectorname_plot,industrialsectorname_en,industrialsectorname_en_plot
Alimenticio y/o de consumo humano,Alimenticio y/o de consumo<br>humano,Food and human consumption,Food and human consumption
Artículos y productos compuestos de diferentes materiales,Artículos y productos compuestos<br> de diferentes materiales,Articles and products composed of different materials,Articles and products composed<br>of different materials
Artículos y productos metálicos,Artículos y productos metálicos,Metal articles and products,Metal articles and products
Artículos y productos plásticos,Artículos y productos plásticos,Plastic articles and products,Plastic articles and products
Asbesto,Asbesto,Asbestos,Asbestos
Automotriz,Automotriz,Automotive,Automotive
Bebidas y tabaco,Bebidas y tabaco,Beverages and tobacco,Beverages and tobacco
Celulosa y papel,Celulosa y papel,Pulp and Paper,Pulp and Paper
Cemento y Cal,Cemento y Cal,Cement and Lime,Cement and Lime
"Equipos y artículos electrónicos, eléctricos y domésticos","Equipos y artículos electrónicos,<br>eléctricos y domésticos","Electronic, electrical, and household equipment and items","Electronic, electrical, and<br>household equipment and items"
Generación de energía eléctrica,Generación de energía eléctrica,Electrical Power Generation,Electrical Power Generation
Madera y Productos,Madera y Productos,Wood-based products,Wood-based products
Metalúrgica (incluye la siderúrgica),Metalúrgica (incluye la siderúrgica),Metallurgy (includes steel),Metallurgy (includes steel)
Otros,Otros,Others,Others
Petroleo y petroquímica,Petroleo y petroquímica,Petroleum and petrochemicals,Petroleum and petrochemicals
Pinturas y tintas,Pinturas y tintas,Paints and inks,Paints and inks
Química,Química,Chemistry,Chemistry
"Servicios de apoyo a los negocios, manejo de residuos peligrosos (no incluye tratamiento) y servicios de remediación","Servicios de apoyo a los negocios,<br>manejo de residuos peligrosos<br>(no incluye tratamiento) y <br>servicios de remediación","Business support services, hazardous waste management (does not include treatment), and remediation services","Business support services,<br>hazardous waste management<br>(does not include treatment),<br>and remediation services"
Servicios de salud y de asistencia,Servicios de salud y de asistencia,Health and care services,Health and care services
"Textiles, fibras e hilos","Textiles, fibras e hilos","Textiles, fibers, and threads","Textiles, fibers, and threads"
Tratamiento de residuos peligrosos,Tratamiento de residuos peligrosos,Hazardous waste treatment,Hazardous waste treatment
Vidrio,Vidrio,Glass,Glass
