dataset_state,cve_ent,state
AGUASCALIENTES,01,Aguascalientes
Aguascalientes,01,Aguascalientes
BAJA CALIFORNIA,02,Baja California
Baja California,02,Baja California
BAJA CALIFORNIA SUR,03,Baja California Sur
Baja California Sur,03,Baja California Sur
CAMPECHE,04,Campeche
Campeche,04,Campeche
COAHUILA,05,Coahuila de Zaragoza
Coahuila de Zaragoza,05,Coahuila de Zaragoza
COLIMA,06,Colima
Colima,06,Colima
CHIAPAS,07,Chiapas
Chiapas,07,Chiapas
CHIHUAHUA,08,Chihuahua
Chihuahua,08,Chihuahua
Ciudad de México,09,Ciudad de México
DISTRITO FEDERAL,09,Ciudad de México
DURANGO,10,Durango
Durango,10,Durango
GUANAJUATO,11,Guanajuato
Guanajuato,11,Guanajuato
GUERRERO,12,Guerrero
Guerrero,12,Guerrero
HIDALGO,13,Hidalgo
Hidalgo,13,Hidalgo
JALISCO,14,Jalisco
Jalisco,14,Jalisco
MEXICO,15,Estado de México
México,15,Estado de México
MICHOACAN,16,Michoacán de Ocampo
Michoacán de Ocampo,16,Michoacán de Ocampo
MORELOS,17,Morelos
Morelos,17,Morelos
NAYARIT,18,Nayarit
Nayarit,18,Nayarit
NUEVO LEON,19,Nuevo León
Nuevo León,19,Nuevo León
OAXACA,20,Oaxaca
Oaxaca,20,Oaxaca
PUEBLA,21,Puebla
Puebla,21,Puebla
QUERETARO,22,Querétaro
Querétaro,22,Querétaro
QUINTANA ROO,23,Quintana Roo
Quintana Roo,23,Quintana Roo
SAN LUIS POTOSI,24,San Luis Potosí
San Luis Potosí,24,San Luis Potosí
SINALOA,25,Sinaloa
Sinaloa,25,Sinaloa
SONORA,26,Sonora
Sonora,26,Sonora
TABASCO,27,Tabasco
Tabasco,27,Tabasco
TAMAULIPAS,28,Tamaulipas
Tamaulipas,28,Tamaulipas
TLAXCALA,29,Tlaxcala
Tlaxcala,29,Tlaxcala
VERACRUZ,30,Veracruz de Ignacio de la Llave
Veracruz de Ignacio de la Llave,30,Veracruz de Ignacio de la Llave
YUCATAN,31,Yucatán
Yucatán,31,Yucatán
ZACATECAS,32,Zacatecas
Zacatecas,32,Zacatecas
